timestamp_ms,accel_x,accel_y,accel_z,temperatura,humedad,label
521768,9.422,1.2789,-0.8311,30.2,68.5,2
521785,9.4268,1.437,-0.8742,30.2,68.5,2
521796,9.5226,1.2167,-0.9149,30.2,68.5,2
521807,9.4436,1.1975,-1.1041,30.2,68.5,2
521818,9.1466,0.8909,-1.425,30.2,68.5,2
521829,9.0675,0.0503,-2.1292,30.2,68.5,2
521840,9.0723,-0.7041,-2.9435,30.2,68.5,2
521851,9.3118,0.4574,-1.6118,30.2,68.5,2
521862,9.4699,-0.1437,-2.134,30.2,68.5,2
521873,9.7405,-0.6203,-2.7591,30.2,68.5,2
521884,9.7956,-1.0323,-3.2764,30.2,68.5,2
521895,9.4531,-1.255,-3.7841,30.2,68.5,2
521906,9.3118,-1.5831,-3.7051,30.2,68.5,2
521917,9.1274,-1.5352,-3.8105,30.2,68.5,2
521928,8.7873,-1.3843,-3.6356,30.2,68.5,2
521939,8.5838,-1.0275,-3.3267,30.2,68.5,2
521950,8.8017,-0.3066,-3.3099,30.2,68.5,2
521961,8.9262,0.5485,-3.559,30.2,68.5,2
521972,9.1729,1.0921,-3.2117,30.2,68.5,2
521983,9.4388,1.6693,-2.5699,30.2,68.5,2
521994,9.8603,1.9783,-1.9448,30.2,68.5,2
522005,9.6471,0.9891,-2.989,30.2,68.5,2
522016,9.9369,1.3628,-1.7124,30.2,68.5,2
522027,9.7908,1.5352,-1.5208,30.2,68.5,2
522038,9.4939,1.5448,-1.7963,30.2,68.5,2
522049,9.786,1.7005,-2.2729,30.2,68.5,2
522060,9.4507,1.837,-2.0932,30.2,68.5,2
522071,9.5777,1.7436,-1.8633,30.2,68.5,2
522082,9.6974,1.5879,-1.5927,30.2,68.5,2
522093,10.483,1.2263,-1.0442,30.2,68.5,2
522104,10.6147,0.6059,-0.7065,30.2,68.5,2
522115,10.6243,-0.0623,-0.6491,30.2,68.5,2
522126,10.6051,-0.5532,-0.9005,30.2,68.5,2
522137,10.0854,-1.0538,-1.4035,30.2,68.5,2
522148,10.3776,0.3473,-0.6538,30.2,68.5,2
522159,10.3896,-0.079,-0.8526,30.2,68.5,2
522170,10.2124,-0.4311,-1.0323,30.2,68.5,2
522181,10.3153,-0.6323,-1.3508,30.2,68.5,2
522192,10.4207,-1.061,-1.5256,30.2,68.5,2
522203,10.2339,-1.4322,-1.631,30.2,68.5,2
522214,9.628,-1.5735,-1.9879,30.2,68.5,2
522225,9.2615,-1.6071,-2.6058,30.2,68.5,2
522236,9.0699,-1.6214,-3.2572,30.2,68.5,2
522247,9.1059,-1.5352,-3.4871,30.2,68.5,2
522258,8.6412,-1.2598,-3.7985,30.2,68.5,2
522269,8.7203,-0.8886,-3.6931,30.2,68.5,2
522280,8.9382,-0.467,-3.6548,30.2,68.5,2
522291,9.0364,0.0575,-3.3387,30.2,68.5,2
522302,9.0292,-1.1113,-3.7865,30.2,68.5,2
522313,8.9406,-0.8862,-3.7123,30.2,68.5,2
522324,8.8065,-0.7041,-3.662,30.2,68.5,2
522335,8.6891,-0.3066,-3.4776,30.2,68.5,2
522346,8.8304,0.0311,-3.5949,30.2,68.5,2
522357,8.6005,0.5724,-3.3458,30.2,68.5,2
522368,8.8089,1.0035,-3.3506,30.2,68.5,2
522379,9.0364,1.3077,-3.2812,30.2,68.5,2
522390,9.3981,1.6885,-2.7854,30.2,68.5,2
522401,9.4986,1.8537,-2.3351,30.2,68.5,2
522412,9.5992,1.849,-2.0358,30.2,68.5,2
522423,9.9441,1.8466,-1.9064,30.2,68.5,2
522434,10.3201,1.619,-1.6214,30.2,68.5,2
522445,9.6208,1.8969,-2.5363,30.2,68.5,2
522456,9.7286,1.9687,-1.9352,30.2,68.5,2
522467,9.7932,1.8202,-1.5041,30.2,68.5,2
522478,9.9417,1.5759,-1.3652,30.2,68.5,2
522489,10.8446,1.3963,-1.0562,30.2,68.5,2
522500,10.9261,0.9796,-0.9796,30.2,68.5,2
522511,10.6818,0.6562,-0.8335,30.2,68.5,2
522522,10.7656,0.1341,-0.7616,30.2,68.5,2
