timestamp_ms,accel_x,accel_y,accel_z,temperatura,humedad,label
549233,9.4076,0.0886,-2.3615,30.0,68.5,1
549250,9.4915,0.376,-2.189,30.0,68.5,1
549261,9.7884,0.1653,-2.2154,30.0,68.5,1
549272,9.7501,0.0647,-2.2872,30.0,68.5,1
549283,9.4076,-0.0024,-2.4453,30.0,68.5,1
549294,9.4292,0.0814,-2.2346,30.0,68.5,1
549305,9.6974,0.1748,-2.3471,30.0,68.5,1
549316,9.6902,0.1174,-2.2705,30.0,68.5,1
549327,9.6879,-0.0359,-2.3711,30.0,68.5,1
549338,9.5274,0.091,-2.3471,30.0,68.5,1
549349,9.5944,0.1413,-2.395,30.0,68.5,1
549360,9.9226,0.1365,-2.4118,30.0,68.5,1
549371,9.5106,0.4646,-2.2705,30.0,68.5,1
549387,9.6974,-0.0287,-2.3783,30.0,68.5,1
549398,9.5992,0.0096,-2.3327,30.0,68.5,1
549409,9.5034,0.0144,-2.2968,30.0,68.5,1
549420,9.6543,0.0958,-2.4094,30.0,68.5,1
549431,9.5346,0.3952,-2.3639,30.0,68.5,1
549442,9.7669,-0.0072,-2.1938,30.0,68.5,1
549453,9.64,0.0287,-2.3064,30.0,68.5,1
549464,9.6112,0.0551,-2.3687,30.0,68.5,1
549475,9.6783,0.1677,-2.2298,30.0,68.5,1
549486,9.604,0.2299,-2.3471,30.0,68.5,1
549497,9.7238,0.1437,-2.4741,30.0,68.5,1
549508,9.64,-0.0263,-2.3615,30.0,68.5,1
549519,9.6639,0.0455,-2.3567,30.0,68.5,1
549530,9.5442,0.0311,-2.4429,30.0,68.5,1
549541,9.6902,0.0647,-2.3232,30.0,68.5,1
549552,9.4891,0.3329,-2.4477,30.0,68.5,1
549563,9.7549,0.1892,-2.2298,30.0,68.5,1
549574,9.6304,0.0575,-2.4286,30.0,68.5,1
549585,9.695,0.079,-2.3783,30.0,68.5,1
549596,9.628,0.1581,-2.2825,30.0,68.5,1
549607,9.6208,0.1269,-2.5363,30.0,68.5,1
549618,9.5944,0.309,-2.3232,30.0,68.5,1
549629,9.6352,0.0216,-2.2777,30.0,68.5,1
549640,9.6591,0.0455,-2.3543,30.0,68.5,1
549651,9.5609,0.0263,-2.4549,30.0,68.5,1
549662,9.695,0.1006,-2.3136,30.0,68.5,1
549673,9.4819,0.3976,-2.2465,30.0,68.5,1
549684,9.6423,0.0671,-2.3783,30.0,68.5,1
549695,9.6112,0.1245,-2.486,30.0,68.5,1
549706,9.7142,0.079,-2.3423,30.0,68.5,1
549717,9.5873,0.1269,-2.2346,30.0,68.5,1
549728,9.6256,-0.0192,-2.4884,30.0,68.5,1
549739,9.64,0.309,-2.2992,30.0,68.5,1
549750,9.6735,0.0742,-2.225,30.0,68.5,1
549761,9.5968,0.0623,-2.4429,30.0,68.5,1
549772,9.5921,0.0599,-2.4908,30.0,68.5,1
549783,9.707,0.103,-2.189,30.0,68.5,1
549794,9.5226,0.3808,-2.3519,30.0,68.5,1
549805,9.6376,0.2275,-2.4142,30.0,68.5,1
549816,9.6423,0.115,-2.3136,30.0,68.5,1
549827,9.6543,0.1389,-2.3064,30.0,68.5,1
549838,9.6136,0.0982,-2.2202,30.0,68.5,1
549849,9.7286,-0.194,-2.486,30.0,68.5,1
549860,9.4651,0.2754,-2.4309,30.0,68.5,1
549871,9.6543,0.1317,-2.2968,30.0,68.5,1
549882,9.5585,0.0958,-2.3735,30.0,68.5,1
549893,9.5729,0.0575,-2.4046,30.0,68.5,1
549904,9.6687,0.0599,-2.2417,30.0,68.5,1
549915,9.4795,0.3664,-2.4812,30.0,68.5,1
549926,9.695,0.2946,-2.3735,30.0,68.5,1
