timestamp_ms,accel_x,accel_y,accel_z,temperatura,humedad,label
263061,9.4484,0.0623,-2.3184,30.3,67.5,0
263072,8.9789,0.0527,-2.1986,30.3,67.5,0
263083,9.3765,0.1581,-2.3663,30.3,67.5,0
263094,9.7693,0.3137,-2.4022,30.3,67.5,0
263105,10.0471,0.1772,-2.2322,30.3,67.5,0
263116,9.3358,0.2179,-2.4381,30.3,67.6,0
263138,9.9058,0.091,-2.2753,30.3,67.6,0
263149,9.7573,0.17,-2.3399,30.3,67.6,0
263160,9.7501,0.1677,-2.4262,30.3,67.6,0
263171,9.6663,0.1557,-2.3878,30.3,67.6,0
263182,9.6256,0.1413,-2.4022,30.3,67.6,0
263193,9.6016,0.1221,-2.3543,30.3,67.6,0
263204,9.6735,0.1653,-2.4214,30.3,67.6,0
263215,9.6735,0.1389,-2.3543,30.3,67.6,0
263226,9.6519,0.1245,-2.3208,30.3,67.6,0
263237,9.6352,0.1413,-2.419,30.3,67.6,0
263248,9.6304,0.1269,-2.3064,30.3,67.6,0
263259,9.6495,0.1221,-2.3471,30.3,67.6,0
263270,9.628,0.1341,-2.3519,30.3,67.6,0
263281,9.616,0.1365,-2.3854,30.3,67.6,0
263292,9.5753,0.1461,-2.3423,30.3,67.6,0
263303,9.6495,0.1413,-2.2872,30.3,67.6,0
263314,9.6208,0.1365,-2.395,30.3,67.6,0
263325,9.5657,0.1724,-2.3783,30.3,67.6,0
263336,9.6376,0.1269,-2.328,30.3,67.6,0
263347,9.6352,0.115,-2.3495,30.3,67.6,0
263358,9.6112,0.1533,-2.3735,30.3,67.6,0
263369,9.6256,0.1198,-2.3519,30.3,67.6,0
263380,9.6423,0.1269,-2.3304,30.3,67.6,0
263391,9.5849,0.1245,-2.3208,30.3,67.6,0
263402,9.5729,0.1533,-2.4046,30.3,67.6,0
263413,9.6136,0.1629,-2.3567,30.3,67.6,0
263424,9.6471,0.115,-2.3567,30.3,67.6,0
263435,9.5921,0.1245,-2.3902,30.3,67.6,0
263446,9.6376,0.1533,-2.3327,30.3,67.6,0
263457,9.5992,0.1317,-2.3926,30.3,67.6,0
263468,9.6208,0.1581,-2.3783,30.3,67.6,0
263479,9.604,0.1437,-2.3783,30.3,67.6,0
263490,9.6256,0.091,-2.3423,30.3,67.6,0
263501,9.5921,0.1126,-2.3016,30.3,67.6,0
263512,9.628,0.1581,-2.3495,30.3,67.6,0
263523,9.5537,0.1078,-2.3567,30.3,67.6,0
263534,9.6184,0.1413,-2.3567,30.3,67.6,0
263545,9.6304,0.1653,-2.3136,30.3,67.6,0
263556,9.6376,0.1269,-2.3854,30.3,67.6,0
263567,9.6232,0.1317,-2.3759,30.3,67.6,0
263578,9.616,0.1485,-2.3423,30.3,67.6,0
263589,9.616,0.1485,-2.3519,30.3,67.6,0
263600,9.604,0.1605,-2.3232,30.3,67.6,0
263611,9.6208,0.1006,-2.3471,30.3,67.6,0
263622,9.616,0.1341,-2.3208,30.3,67.6,0
263633,9.604,0.0934,-2.3519,30.3,67.6,0
263644,9.616,0.1389,-2.3639,30.3,67.6,0
263655,9.5992,0.1413,-2.3136,30.3,67.6,0
263666,9.6423,0.1269,-2.3615,30.3,67.6,0
263677,9.6136,0.1317,-2.3591,30.3,67.6,0
263688,9.6208,0.1221,-2.3016,30.3,67.6,0
263699,9.6352,0.1365,-2.3256,30.3,67.6,0
263710,9.5992,0.1748,-2.3854,30.3,67.6,0
263721,9.628,0.1389,-2.3399,30.3,67.6,0
263732,9.6016,0.1293,-2.3854,30.3,67.6,0
263743,9.6304,0.1317,-2.3232,30.3,67.6,0
263754,9.6352,0.1221,-2.4142,30.3,67.6,0
263765,9.628,0.1269,-2.2633,30.3,67.6,0
263776,9.6064,0.1748,-2.3351,30.3,67.6,0
263787,9.6088,0.103,-2.3806,30.3,67.6,0
263798,9.6543,0.1485,-2.3519,30.3,67.6,0
263809,9.5729,0.1485,-2.3232,30.3,67.6,0
263820,9.6112,0.1533,-2.3567,30.3,67.6,0
263831,9.6136,0.1748,-2.3711,30.3,67.6,0
263842,9.6184,0.1341,-2.3136,30.3,67.6,0
263853,9.5873,0.1341,-2.328,30.3,67.6,0
263864,9.6352,0.1509,-2.3304,30.3,67.6,0
263875,9.6687,0.1437,-2.3399,30.3,67.6,0
263886,9.604,0.1677,-2.3735,30.3,67.6,0
263897,9.616,0.1485,-2.3447,30.3,67.6,0
263908,9.5657,0.1317,-2.3783,30.3,67.6,0
263919,9.6471,0.1581,-2.3591,30.3,67.6,0
